랠리	ラリー
콜롬버스	コロンブス
구찌	グッチ
지정하기	指定
채식주의	ベジタリアン
매클로플린	マクラフリン
허프	ハフ
부티크	ブティック
분비물	退院
분비물	除隊
분비물	分泌物
윤기	ピカピカ
커틀릿	カツレツ
삼십	三十
삼십	thirty
게이이	ゲイ
쩔어	ドープ
푸들	プードル
독창성	オリジナル
에일라트	エイラート
반즈	バーンズ
토닉	トニック
애드센스	adsense
목적지는	行き先
목적지는	目的地
목적지는	宛先
아누비스	アヌビス
메스꺼움	吐き気
바이오니클	バイオニクル
미모	美容
꺼내기	取り出し
토켈라우	トケラウ
금식	断食
알루	alu
승리자	勝者
승리자	ウィナー
배란	排卵
로빈과	ロビン
이쁜	豪華
이쁜	ゴージャス
신디케이트	シンジケート
미니밴	ミニバン
가격결정	価格
소화불량	消化不良
시체스	シッチェス
녹내장	緑内障
마이크로블로그	ミニブログ
소리쳐	シャウト
소리쳐	叫ぶ
뢰번	leuven
바베큐	バーベキュー
피클	ピクルス
피클	漬物
피임약	避妊
줄넘기	ロープ
콰르텟	カルテット
안아	ハグ
아캄	アーカム
발렌티누스	ヴァレンティーノ
교환기	チェンジャー
댄스홀	ダンスホール
악수	握手
케슬러	ケスラー
외워	暗記
베르나르드	ベルナール
새들러	サドラー
마찰력	摩擦
컬렉터	コレクター
쟁반	トレイ
경쟁사	競合
랭글랜즈	ラングランズ
도박꾼	ギャンブラー
빵가루	パン粉
목탄	木炭
공연자	演者
하와이와	ハワイ
도둑놈	泥棒
누르세요	tap
누르세요	蛇口
누르세요	タップ
세련되게	洗練された
세련되게	精製
조종실	コックピット
악세사리	アクセサリー
스케줄러	スケジューラ
제외됨	除外
안마사	マッサージ
커틀러	カトラー
드래곤플라이	とんぼ
헤드라인	見出し
농작물이	農産物
농작물이	作物
마스카라	マスカラ
회비	会費
세그멘테이션	セグメンテーション
모세혈관	毛細血管
폭죽	爆竹
김프	gimp
카로틴	カロテン
세우타	セウタ
미움	憎悪
쓰레기통	ごみ箱
쓰레기통	ゴミ箱
씻기	洗濯
씻기	洗浄
윌리엄스버그	ウィリアムズバーグ
쥘리아	ジュリア
쥘리아	ユリア
만드세요	作成
붕대	ドレッシング
안티고네	アンティゴネー
트레비스	トラヴィス
간달프	ガンダルフ
커스버트	カスバート
공유해	共有
공유해	シェア
비강	鼻音
화창한	晴れ
화창한	サニー
포니테일	ポニーテール
장난기	陽気
장난기	遊び心
행오버	二日酔い
트래블러	トラベラー
스파키	スパーキー
펨바	ペンバ
헛간	バーン
헛간	納屋
고코마쓰	小松
콜드플레이	コールドプレイ
아침식사	朝食
편리	便利
기흉	気胸
머핀	マフィン
우르미아	オルーミーイェ
코자크	コサック
상인인	商人
인내심	我慢
인내심	忍耐
인내심	根気
맥플라이	マクフライ
히로시마로	広島
사타구니	股間
안사르	アンサール
깨끗하다	クリーン
깨끗하다	きれい
뱃지	バナー
뱃지	バッジ
블라우스	ブラウス
야옹이	ニャー
야옹이	ニャン
우박	ひょう
사마귀목	カマキリ
위궤양	潰瘍
애니스턴	アニストン
콘스탄티노	コンスタンティノープル
벤츄라	ベンチュラ
진딧물	アブラムシ
타운센드	タウンゼント
팔레스타인인	パレスチナ
콘트라스트	コントラスト
본능적	本能
헤이마켓	ヘイマーケット
콤스	コームズ
프림	プリム
왓치맨	ウォッチメン
허세	ブラフ
부드러워	やわらかい
부드러워	柔らかい
부드러워	ソフト
녹음기	レコーダー
심각해	深刻
과르디올라	グアルディオラ
카노사	カノッサ
스프라우트	スプラウト
발리언트	ヴァリアント
멧커프	メトカーフ
멀론	マローン
킬러스	キラーズ
자스민	ジャスミン
소돔	ソドム
사이클롭스	キュクロープス
활기	エネルギッシュ
탄젠트	タンジェント
노른자	卵黄
릭스	リグス
가구라	神楽
구역질	吐き気
뿌리기	ルーツ
부끄러움	人見知り
부끄러움	シャイ
육상선수	アスリート
대량절멸	絶滅
대량절멸	消滅
트램펄린	トランポリン
부주의	不注意
자일스	ジャイルズ
양상추	レタス
말레이시아어	マレー
자선단체	チャリティー
자선단체	チャリティ
샤울랴이	シャウレイ
레코딩스	レコーディング
우아	エレガント
리크	ネギ
투명도	透明
투명도	透明度
브레이드	ブレイ
정돈	tidy
딕스	ディクス
핫라인	ホットライン
베이글	ベーグル
스프링클러	スプリンクラー
끄기	オフ
서브시스템	サブシステム
드럼은	ドラム
드럼은	太鼓
카멜롯	キャメロット
디플레이션	デフレ
마제스틱	マジェスティック
탤벗	タルボット
프리몬트	フリーモント
프리몬트	フレモント
플러시	流す
플러시	フラッシュ
스테이플턴	ステイプルトン
올멕	オルメカ
제출합니다	送信
제출합니다	提出
갑상샘	甲状腺
직감	直観
덮어쓰기	上書き
리바이어던	レヴィアタン
쿨러	クーラー
치료사	セラピスト
리모	リムジン
시오니즘	シオニズム
촉촉한	しっとり
맥월드	macworld
히스테리	ヒステリー
그래디	グレイディ
댕기	デング熱
캘훈	カルフーン
쿠어스	クアーズ
케첩	ケチャップ
고마츠	小松
인벤토리	在庫
인벤토리	棚卸
그로밋	グルミット
겸손	謙遜
하디드	ハディース
포토제닉	フォトジェニック
토템	トーテム
답장	返信
스트라이프스	ストライプ
투석	透析
살쾡이	lynx
점액	粘液
페이팔	paypal
소작	小さな
소작	スモール
소작	小さい
살라미	サラミ
이퀄라이저	イコライザー
모딜리아니	モディリアーニ
스포츠맨	スポーツマン
신밧드	シンドバッド
구매하기	購入
비염	鼻炎
지르콘	ジルコン
변기	トイレ
변기	便所
크러스트	クラスト
잔액	残高
잔액	バランス
트랜스폰더	トランスポンダ
지역주민	地元
지역주민	地元民
오리엔테이션	方向
오리엔테이션	向き
오리엔테이션	オリエンテーション
타지리	田尻
디플로마	ディプロマ
찬송	聖歌
아틀란타	アトランタ
한한	ハン
평범	普通
평범	ノーマル
손목시계	腕時計
갈망	切望
하프타임	ハーフタイム
갬빗	ギャンビット
마누스	マグナス
쇄골	首輪
대화식	インタラクティブ
윌러비	ウィロビー
트레킹	トレッキング
히카르도	リカルド
월세	レンタル
월세	家賃
월세	借りる
월세	レント
갈비	肋骨
위염	胃炎
아니아	アンヤ
